YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,RH2M,T2M
2021,6,22,99.93,6.12,7.92,3.98,3.95,240.94,7.5,8.52,6.47,2.05,241.44,66.75,30.51
2021,6,23,99.86,5.96,7.39,4.03,3.36,242.69,7.4,8.37,6.62,1.75,243.19,63.94,30.59
2021,6,24,99.83,7.16,9.57,5.11,4.46,243.25,8.8,10.55,7.48,3.06,243.75,64.44,30.58
2021,6,25,99.73,7.48,9.45,5.34,4.12,243.75,9.08,10.31,7.7,2.62,244.31,65.06,30.53
2021,6,26,99.78,7.06,9.2,4.27,4.93,243.62,8.63,9.97,6.3,3.66,244.19,64.94,30.8
2021,6,27,100.07,5.43,7.16,2.97,4.2,252,6.74,8.7,5.51,3.2,252.81,61.5,31.11
2021,6,28,100.01,5.74,7.26,3.99,3.27,254.25,6.94,8.34,5.17,3.17,254.69,59.31,31.58
2021,6,29,99.89,5.98,7.7,4.38,3.31,247.31,6.94,8.83,4.58,4.25,247.5,59.5,31.79
2021,6,30,99.77,8.41,10.23,5.73,4.5,244.88,9.91,11.38,7.6,3.78,245.25,62,31.51
2021,7,1,99.45,9.95,11.77,7.82,3.95,240.12,11.88,13.22,10.25,2.97,240.75,67,31.01
2021,7,2,99.47,9.38,11.74,7.61,4.13,226.5,11.7,13.44,10.37,3.07,226.88,77.31,29.14
2021,7,3,99.68,8.2,9.98,5.66,4.32,230.56,10.31,11.24,8.13,3.11,230.88,73.81,29.45
2021,7,4,99.91,6,7.66,4.39,3.27,232,7.69,8.36,6.9,1.47,232.31,72.75,29.63
2021,7,5,99.97,5.08,6.99,2.91,4.09,240.06,6.72,8.02,5.31,2.7,240.5,72.31,29.48
2021,7,6,99.87,5.08,7.73,2.82,4.91,251.19,6.74,8.45,4.91,3.55,251.62,72.25,29.18
2021,7,7,99.82,6.11,8.04,3.89,4.15,244.81,8.04,9.23,6.88,2.35,245.12,70.44,29.15
2021,7,8,99.71,7.27,9.8,4.91,4.88,247.31,9.27,10.93,7.1,3.83,247.69,70.81,29.7
2021,7,9,99.5,6.55,8.63,4.63,4,242.38,8.23,9.59,6.66,2.91,242.69,72.88,30.07
